								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
  30:72h vs. 80:24h	19/37	-96/22 to 135/0	No	ns	>0/9999			
  30:72h vs. 80:48h	11/49	-104/1 to 127/1	No	ns	>0/9999			
  30:72h vs. 80:72h	10/29	-105/3 to 125/9	No	ns	>0/9999			
  30:72h vs. 90:24h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  30:72h vs. 90:48h	13/03	-102/6 to 128/6	No	ns	>0/9999			
  30:72h vs. 90:72h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  30:72h vs. 100:24h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  30:72h vs. 100:48h	16/11	-99/49 to 131/7	No	ns	>0/9999			
  30:72h vs. 100:72h	17/65	-97/95 to 133/2	No	ns	>0/9999			
  40:24h vs. 40:48h	-0/6101	-116/2 to 115/0	No	ns	>0/9999			
  40:24h vs. 40:72h	-9/026	-124/6 to 106/6	No	ns	>0/9999			
  40:24h vs. 50:24h	3/448	-112/1 to 119/0	No	ns	>0/9999			
